person	organization	position	notes	g_e
McCaw / Craig O.	Council on Foreign Relations			
McCaw / Susan R.	Council on Foreign Relations			
McChrystal / Stanley A.	Council on Foreign Relations			
McClure / Kimberly M.	Council on Foreign Relations			
McClure / Robert L.	Council on Foreign Relations			
McClymont / Mary E.	Council on Foreign Relations			
McCormack / Elizabeth J.	Council on Foreign Relations			
McCormack / Richard Thomas Fox	Council on Foreign Relations			
McCormick / David Harold	Council on Foreign Relations			
McCouch / Donald G.	Council on Foreign Relations			
McCoy / Jennifer L.	Council on Foreign Relations			
McCray / Ronald David	Council on Foreign Relations			
McCue / Susan	Council on Foreign Relations			
McCurdy / Dave K.	Council on Foreign Relations			
McDermott / Jim	Council on Foreign Relations			
McDevitt / Sean Daniel	Council on Foreign Relations			
McDonald / Alonzo L.	Council on Foreign Relations			
McDonald / Tom	Council on Foreign Relations			
McDonough / William J.	Council on Foreign Relations			
McDougall / Gay J.	Council on Foreign Relations			
McFarland / Kathleen Troia	Council on Foreign Relations			
McFarland / Maria	Council on Foreign Relations			
McFarlane / Jennifer A.	Council on Foreign Relations			
McFarlane / Robert C.	Council on Foreign Relations			
McFate / Patricia Ann	Council on Foreign Relations			
McFaul / Michael A.	Council on Foreign Relations			
McGarr / Cappy R.	Council on Foreign Relations			
McGowan / Alan H.	Council on Foreign Relations			
McGregor / James L.	Council on Foreign Relations			
McGurn / William	Council on Foreign Relations			
McHenry / Donald F.	Council on Foreign Relations			m-B
McKean / David	Council on Foreign Relations			
McKenney / Morgan	Council on Foreign Relations			
McKeon / Elizabeth A.	Council on Foreign Relations			
McKeon / Robert B.	Council on Foreign Relations			
McKibben / Tracy B.	Council on Foreign Relations			
McLarty / Thomas F. III	Council on Foreign Relations			m-W
McLaughlin / Charles James IV	Council on Foreign Relations			
McLaughlin / John E.	Council on Foreign Relations			
McLean / Mora L.	Council on Foreign Relations			
McLean / Sheila Avrin	Council on Foreign Relations			
McLin / Jon Blythe	Council on Foreign Relations			
McManus / Doyle	Council on Foreign Relations			
McManus / Jason D.	Council on Foreign Relations			
McMaster / Herbert Raymond	Council on Foreign Relations			
McMullin / D. Evan	Council on Foreign Relations			
McNally / Elizabeth Young	Council on Foreign Relations			
McNamara / Dennis L.	Council on Foreign Relations			
McNamara / Kathleen R.	Council on Foreign Relations			
McNamara / Thomas E.	Council on Foreign Relations			
McNamer / Bruce W.	Council on Foreign Relations			
McNaugher / Thomas L.	Council on Foreign Relations			
McNeese / Thomas	Council on Foreign Relations			
McPeak / Merrill A.	Council on Foreign Relations			
McPherson / M. Peter	Council on Foreign Relations			
McQuade / Lawrence C.	Council on Foreign Relations			
McWade / Jessica C.	Council on Foreign Relations			
Meacham / Carl E.	Council on Foreign Relations			
Meacham / Jon	Council on Foreign Relations			
Mead / Dana G.	Council on Foreign Relations			
Mead / E. Scott	Council on Foreign Relations			
Mead / Walter Russell	Council on Foreign Relations			
Meadows / Jeanne Terry	Council on Foreign Relations			
Mearsheimer / John J.	Council on Foreign Relations			
Medavoy / Mike	Council on Foreign Relations			
Medawar / Adrienne	Council on Foreign Relations			
Medina / Kathryn B.	Council on Foreign Relations			
Medish / Mark Christian	Council on Foreign Relations			
Meers / Sharon I.	Council on Foreign Relations			
Meertens / Michelle A.	Council on Foreign Relations			
Meese / Michael J.	Council on Foreign Relations			
Mehlman / Kenneth B.	Council on Foreign Relations			
Mehra / Sanjeev K.	Council on Foreign Relations			
Mehreteab / Ghebre Selassie	Council on Foreign Relations			
Mehta / Ved	Council on Foreign Relations			
Meigs / Montgomery C.	Council on Foreign Relations			
Meiman Hock / Kellie	Council on Foreign Relations			
Meissner / Doris M.	Council on Foreign Relations			
Meister / Irene W.	Council on Foreign Relations			
Melby / Eric D. K.	Council on Foreign Relations			
Melloan / George R.	Council on Foreign Relations			
Melton / Carol A.	Council on Foreign Relations			
Melwani / Anish	Council on Foreign Relations			
Mendelson / Sarah E.	Council on Foreign Relations			
Mendelson Forman / Johanna Sebastian	Council on Foreign Relations			
Mendlovitz / Saul H.	Council on Foreign Relations			
Mendonca / Lenny	Council on Foreign Relations			
Mendoza / Roberto G.	Council on Foreign Relations			m-L
Menon / Rajan	Council on Foreign Relations			
Menschel / Robert B.	Council on Foreign Relations			
Merkel / Claire Sechler	Council on Foreign Relations			
Merkel / David A.	Council on Foreign Relations			
Meron / Theodor	Council on Foreign Relations			
Merow / John E.	Council on Foreign Relations			
Merritt / Jack Neil	Council on Foreign Relations			
Merszei / Zoltan	Council on Foreign Relations			
Mesdag / Willem	Council on Foreign Relations			
Meselson / Matthew S.	Council on Foreign Relations			
Meserve / Richard A.	Council on Foreign Relations			m-W
Messmer / Michael	Council on Foreign Relations			
Mestres / Ricardo A. Jr.	Council on Foreign Relations			
Metzger / Barry	Council on Foreign Relations			
Metzl / Jamie Frederic	Council on Foreign Relations			
Meyer / Edward C.	Council on Foreign Relations			
Meyer / Karl E.	Council on Foreign Relations			
Meyer / Michael Ryder	Council on Foreign Relations			
Meyer / Noa	Council on Foreign Relations			
Meyerman / Harold J.	Council on Foreign Relations			
Michaels / Jon Douglas	Council on Foreign Relations			
Michaels / Marguerite	Council on Foreign Relations			
Michel / Christopher Prentiss	Council on Foreign Relations			
Mickiewicz / Ellen	Council on Foreign Relations			
Midgley / Elizabeth	Council on Foreign Relations			
Mihaly / Eugene B.	Council on Foreign Relations			
Mikell / Gwendolyn	Council on Foreign Relations			
Miles / Edward L.	Council on Foreign Relations			
Milestone / Judith B.	Council on Foreign Relations			
Millard / Robert B.	Council on Foreign Relations			m-W
Miller / Aaron David	Council on Foreign Relations			
Miller / Alisa	Council on Foreign Relations			
Miller / Amber D.	Council on Foreign Relations			
Miller / Anthony Murray	Council on Foreign Relations			
Miller / Charles R.	Council on Foreign Relations			
Miller / Christopher D.	Council on Foreign Relations			
Miller / David Charles Jr.	Council on Foreign Relations			
Miller / Debra Lynn	Council on Foreign Relations			
Miller / Eyrique V.	Council on Foreign Relations			
Miller / Franklin C.	Council on Foreign Relations			
Miller / Heidi G.	Council on Foreign Relations			f-W
Miller / Judith A.	Council on Foreign Relations			
Miller / Ken	Council on Foreign Relations			m-W
Miller / Linda B.	Council on Foreign Relations			
Miller / Matthew L.	Council on Foreign Relations			
Miller / Paul D.	Council on Foreign Relations			
Miller / Scott L.	Council on Foreign Relations			
Miller / Thomas J.	Council on Foreign Relations			
Miller / William Green	Council on Foreign Relations			
Miller / William Scott II	Council on Foreign Relations			
Millington / John A.	Council on Foreign Relations			
Mills / Bradford	Council on Foreign Relations			
Mills / Karen Gordon	Council on Foreign Relations			
Mills / Susan Linda	Council on Foreign Relations			
Milner / Helen V.	Council on Foreign Relations			
Milrod / Donna	Council on Foreign Relations			
Mintz / Daniel R.	Council on Foreign Relations			
Mir / Aimen N.	Council on Foreign Relations			
Mishkin / Alexander V.	Council on Foreign Relations			
Mitchell / Andrea	Council on Foreign Relations			
Mitchell / Arthur M. III	Council on Foreign Relations			
Mitchell / George J.	Council on Foreign Relations			
Mitchell / Patricia E.	Council on Foreign Relations			
Mitchell / Wandra G.	Council on Foreign Relations			
Mixter / Jonathan Cobb	Council on Foreign Relations			
Mize / David M.	Council on Foreign Relations			
Mizel / Larry A.	Council on Foreign Relations			
Mochizuki / Kiichi	Council on Foreign Relations			
Moe / Sherwood G.	Council on Foreign Relations			
Moffett / George D.	Council on Foreign Relations			
Molano / Walter Thomas	Council on Foreign Relations			
Mondale / Walter F.	Council on Foreign Relations			
Moniz / Ernest J.	Council on Foreign Relations			
Montelongo / Michael	Council on Foreign Relations			
Montgomery / George Cranwell	Council on Foreign Relations			
Montgomery / Harold H.	Council on Foreign Relations			
Montgomery / Mark C.	Council on Foreign Relations			
Montgomery / Parker G.	Council on Foreign Relations			
Montgomery / Philip O'Bryan III	Council on Foreign Relations			
Montoya / Manuel-Julian	Council on Foreign Relations			
Moock / Joyce Lewinger	Council on Foreign Relations			
Moody / Jim	Council on Foreign Relations			
Moody / William S.	Council on Foreign Relations			
Moore / John J. Jr.	Council on Foreign Relations			
Moore / John M.	Council on Foreign Relations			
Moore / John Norton	Council on Foreign Relations			
Moore / Jonathan	Council on Foreign Relations			
Moore / Julia A.	Council on Foreign Relations			
Moore / Wes W.	Council on Foreign Relations			
Moorman / Thomas S. Jr.	Council on Foreign Relations			
Moose / George E.	Council on Foreign Relations			
Moose / Richard M.	Council on Foreign Relations			
Mora / Alberto J.	Council on Foreign Relations			
Mora / Antonio G.	Council on Foreign Relations			
Moran / Michael E.	Council on Foreign Relations			
Moran / Terence P.	Council on Foreign Relations			
Moran / Theodore H.	Council on Foreign Relations			
Moravcsik / Andrew	Council on Foreign Relations			
Morey / David Edward	Council on Foreign Relations			
Morgan / Charlotte M.	Council on Foreign Relations			
Morin / James	Council on Foreign Relations			
Morin / Jamie	Council on Foreign Relations			
Morningstar / Richard L.	Council on Foreign Relations			
Morris / Charles R.	Council on Foreign Relations			
Morris / Frederic A.	Council on Foreign Relations			
Morrison / J. Stephen	Council on Foreign Relations			
Morrissey / Arthur C.	Council on Foreign Relations			
Morse / Edward L.	Council on Foreign Relations			
Morse / Kenneth P.	Council on Foreign Relations			
Morse / Stephen S.	Council on Foreign Relations			
Mortimer / David H.	Council on Foreign Relations			
Mosbacher / Robert A. Jr.	Council on Foreign Relations			m-W
Moseley / T. Michael	Council on Foreign Relations			
Moser / Joel H.	Council on Foreign Relations			
Moses / Alfred H.	Council on Foreign Relations			
Mosettig / Michael David	Council on Foreign Relations			
Moskow / Michael H.	Council on Foreign Relations			m-W
Moss / Ambler H. Jr.	Council on Foreign Relations			
Moss / Jeff	Council on Foreign Relations			
Mossman / James	Council on Foreign Relations			
Motley / Joel W.	Council on Foreign Relations			
Mottahedeh / Roy P.	Council on Foreign Relations			
Motulsky / Daniel T.	Council on Foreign Relations			
Mouat / Lucia	Council on Foreign Relations			
Moyer / Homer E. Jr.	Council on Foreign Relations			
Mroz / John Edwin	Council on Foreign Relations			
Mudd / Daniel H.	Council on Foreign Relations			
Mudd / Margaret F.	Council on Foreign Relations			
Mujal-Leon / Eusebio	Council on Foreign Relations			
Mulberger / Virginia A.	Council on Foreign Relations			
Mulcahy / Anne M.	Council on Foreign Relations			f-W
Mulford / David C.	Council on Foreign Relations			
Mullaney / Craig M.	Council on Foreign Relations			
Muller / Edward R.	Council on Foreign Relations			
Muller / Steven	Council on Foreign Relations			
Mundie / Craig James	Council on Foreign Relations			
Muñoz / George	Council on Foreign Relations			m-L
Munroe / Alexandra Kneeland	Council on Foreign Relations			
Munroe / George B.	Council on Foreign Relations			
Munsch / Stuart B.	Council on Foreign Relations			
Murase / Emily Moto	Council on Foreign Relations			
Murdoch / Rupert	Council on Foreign Relations			
Murdock / Deroy	Council on Foreign Relations			
Murphy / Ewell E. Jr.	Council on Foreign Relations			
Murphy / Richard W.	Council on Foreign Relations			
Murray / Alan S.	Council on Foreign Relations			
Murray / Douglas J.	Council on Foreign Relations			
Murray / Ian P.	Council on Foreign Relations			
Murray / Janice L.	Council on Foreign Relations			
Murray / Lori Esposito	Council on Foreign Relations			
Murray / Robert J.	Council on Foreign Relations			
Muse / Martha Twitchell	Council on Foreign Relations			
Musham / Bettye Martin	Council on Foreign Relations			
Muthiah / Radha	Council on Foreign Relations			
Mutua / Makau W.	Council on Foreign Relations			
Muzinich / Justin George	Council on Foreign Relations			
Myers / Richard B.	Council on Foreign Relations			m-W
Myerson / Roger B.	Council on Foreign Relations			
Myerson / Toby S.	Council on Foreign Relations			
Myrow / Stephen A.	Council on Foreign Relations			
Nachman / David Eli	Council on Foreign Relations			
Nacht / Michael	Council on Foreign Relations			
Nadiri / M. Ishaq	Council on Foreign Relations			
Nagl / John A.	Council on Foreign Relations			
Nagorski / Andrew	Council on Foreign Relations			
Nagorski / Thomas G.	Council on Foreign Relations			
Naím / Moisés	Council on Foreign Relations			
Nájera / Peter F.	Council on Foreign Relations			
Nakhleh / Emile A.	Council on Foreign Relations			
Napolitano / Janet A.	Council on Foreign Relations			
Nash / William L.	Council on Foreign Relations			
Nasr / Vali R.	Council on Foreign Relations			
Nathan / James A.	Council on Foreign Relations			
Nathanson / Marc B.	Council on Foreign Relations			
Nathoo / Raffiq A.	Council on Foreign Relations			
Nau / Henry R.	Council on Foreign Relations			
Naughton / Barry J.	Council on Foreign Relations			
Neal / Jeffrey C.	Council on Foreign Relations			
Neal / Stephen L.	Council on Foreign Relations			
Nealer / Kevin G.	Council on Foreign Relations			
Nederlander / Robert Jr.	Council on Foreign Relations			
Negroponte / Diana Villiers	Council on Foreign Relations			
Negroponte / John D.	Council on Foreign Relations			
Neier / Aryeh	Council on Foreign Relations			
Nelson / Abagail	Council on Foreign Relations			
Nelson / Anne	Council on Foreign Relations			
Nelson / Daniel N.	Council on Foreign Relations			
Nelson / Merlin E.	Council on Foreign Relations			
Nelson / Richard D.	Council on Foreign Relations			
Nelson / Robert L. Jr.	Council on Foreign Relations			
Nelson / Thomas C.	Council on Foreign Relations			m-W
Nepomnyashchy / Catharine Theimer	Council on Foreign Relations			
Nesbit / Lynn	Council on Foreign Relations			
Neuberger / Anne	Council on Foreign Relations			
Neuger / Win J.	Council on Foreign Relations			
Neuman / Stephanie G.	Council on Foreign Relations			
Neureiter / Norman P.	Council on Foreign Relations			
Newberg / Esther R.	Council on Foreign Relations			
Newburg / Andre	Council on Foreign Relations			
Newcomb / Nancy S.	Council on Foreign Relations			f-W
Newell / John F. III	Council on Foreign Relations			
Newhouse / John	Council on Foreign Relations			
Newman / Jay H.	Council on Foreign Relations			
Newman / Pamela J.	Council on Foreign Relations			
Newman / Pauline	Council on Foreign Relations			
Newman / Priscilla A.	Council on Foreign Relations			
Newman / Richard T.	Council on Foreign Relations			
Newton / M. Diana Helweg	Council on Foreign Relations			
Nexon / Daniel H.	Council on Foreign Relations			
Ney / Edward N.	Council on Foreign Relations			
Nguyen / Tuan H.	Council on Foreign Relations			
Nicholas / N. J. Jr.	Council on Foreign Relations			m-W
Nichols / Rodney W.	Council on Foreign Relations			
Nicholson / Jan	Council on Foreign Relations			m-W
Nides / Thomas R.	Council on Foreign Relations			
Niehuss / John M.	Council on Foreign Relations			
Niehuss / Rosemary Neaher	Council on Foreign Relations			
Nielsen / Nancy	Council on Foreign Relations			
Nielsen / Suzanne Christine	Council on Foreign Relations			
Nilsson / Keith R.	Council on Foreign Relations			
Nilsson / Kenneth A.	Council on Foreign Relations			
Nimetz / Matthew	Council on Foreign Relations			
Nimr / Amer N.	Council on Foreign Relations			
Nitze / William A.	Council on Foreign Relations			
Noam / Eli M.	Council on Foreign Relations			
Nogales / Luis G.	Council on Foreign Relations			m-L
Nolan / Janne Emilie	Council on Foreign Relations			
Noland / Marcus	Council on Foreign Relations			
Nolte / William M.	Council on Foreign Relations			
Nonacs / Eric Steven	Council on Foreign Relations			
Noonan / Peggy	Council on Foreign Relations			
Norman / William S.	Council on Foreign Relations			
Norquist / Grover Glenn	Council on Foreign Relations			
Northup / Nancy J.	Council on Foreign Relations			
Norton / Augustus Richard	Council on Foreign Relations			
Norton / Eleanor Holmes	Council on Foreign Relations			
Norton / Patrick M.	Council on Foreign Relations			
Nossel / Suzanne F.	Council on Foreign Relations			
Noto / Lucio A.	Council on Foreign Relations			m-W
Novack / Lynne Dominick	Council on Foreign Relations			
Novogratz / Jacqueline	Council on Foreign Relations			
Novotny / Thomas E.	Council on Foreign Relations			
Nuechterlein / Jeffrey D.	Council on Foreign Relations			
Nunn / Samuel A.	Council on Foreign Relations			m-W
Nusratty / Timur	Council on Foreign Relations			
Nussbaum / Bruce	Council on Foreign Relations			
Nye / J. Benjamin H.	Council on Foreign Relations			
Nye / Seth	Council on Foreign Relations			
O'Brien / James C.	Council on Foreign Relations			
O'Cleireacain / Carol	Council on Foreign Relations			
O'Flaherty / J. Daniel	Council on Foreign Relations			
O'Hanlon / Michael	Council on Foreign Relations			
O'Hearn / Katherine I.	Council on Foreign Relations			
O'Keefe / Daniel	Council on Foreign Relations			
O'Malley / Cormac K. H.	Council on Foreign Relations			
O'Neal / E. Stanley	Council on Foreign Relations			m-B
O'Neil / Kathleen A.	Council on Foreign Relations			
O'Neil / Michael J.	Council on Foreign Relations			
O'Neill / Brian Deveraux	Council on Foreign Relations			
O'Neill / Matthew	Council on Foreign Relations			
O'Prey / Kevin P.	Council on Foreign Relations			
O'Reilly / David J.	Council on Foreign Relations			m-W
O'Rourke / Patrick J.	Council on Foreign Relations			
O'Sullivan / Meghan L.	Council on Foreign Relations			
O'Toole / Tara Jeanne	Council on Foreign Relations			
Oakley / Phyllis E.	Council on Foreign Relations			
Oberdorfer / Don	Council on Foreign Relations			
Obey / David R.	Council on Foreign Relations			
Ocampo / Juan	Council on Foreign Relations			
Ochoa-Brillembourg / Hilda	Council on Foreign Relations			f-L
Odeen / Philip A.	Council on Foreign Relations			m-W
Odell / John S.	Council on Foreign Relations			
Odum / Marvin E. III	Council on Foreign Relations			
Oettinger / Anthony G.	Council on Foreign Relations			
Offenheiser / Raymond C. Jr.	Council on Foreign Relations			
Offit / Morris W.	Council on Foreign Relations			m-W
Oh / Kongdan	Council on Foreign Relations			
Okata / Maritza U.	Council on Foreign Relations			
Okawara / Merle Aiko	Council on Foreign Relations			
Olayan / Hutham S.	Council on Foreign Relations			f-M
Oliva / L. Jay	Council on Foreign Relations			
Oliver / April A.	Council on Foreign Relations			
Oliver / John L. III	Council on Foreign Relations			
Ollivant / Douglas A.	Council on Foreign Relations			
Olson / Jane T.	Council on Foreign Relations			
Olson / Lyndon L. Jr.	Council on Foreign Relations			m-W
Olson / Ronald L.	Council on Foreign Relations			m-W
Omestad / Thomas E.	Council on Foreign Relations			
Onek / Joseph N.	Council on Foreign Relations			
Onyeagoro / Obinna A. Jr.	Council on Foreign Relations			
Oppenheimer / Andres M.	Council on Foreign Relations			
Oppenheimer / Franz Martin	Council on Foreign Relations			
Oppenheimer / Michael F.	Council on Foreign Relations			
Orbach / Ashley Kushner	Council on Foreign Relations			
Orbach / Benjamin	Council on Foreign Relations			
Ordway / John M.	Council on Foreign Relations			
Orentlicher / Diane	Council on Foreign Relations			
Orlins / Stephen A.	Council on Foreign Relations			
Ornstein / Norman J.	Council on Foreign Relations			
Orr / Robert C.	Council on Foreign Relations			
Orrenius / Pia M.	Council on Foreign Relations			
Orszag / Peter R.	Council on Foreign Relations			
Osborn / John E.	Council on Foreign Relations			
Osborne / Richard de J.	Council on Foreign Relations			
Osius / Margaret Elizabeth	Council on Foreign Relations			
Osman / Hoda K.	Council on Foreign Relations			
Osmer McQuade / Margaret	Council on Foreign Relations			
Osnos / Peter L. W.	Council on Foreign Relations			
Osnos / Susan Sherer	Council on Foreign Relations			
Osterholm / Michael T.	Council on Foreign Relations			
Osterling / Scott	Council on Foreign Relations			
Otero / Maria	Council on Foreign Relations			
Otto / Eric H.	Council on Foreign Relations			
Ovitz / Michael S.	Council on Foreign Relations			
Owen / Roberts Bishop	Council on Foreign Relations			
Owens / William A.	Council on Foreign Relations			m-W
Oxman / Bernard H.	Council on Foreign Relations			
Oxman / Stephen A.	Council on Foreign Relations			
Oxnam / Robert B.	Council on Foreign Relations			
Oye / Kenneth A.	Council on Foreign Relations			
Paal / Douglas Haines	Council on Foreign Relations			
Pachios / Harold C.	Council on Foreign Relations			
Packard / George R.	Council on Foreign Relations			
Page / Carter W.	Council on Foreign Relations			
Paine / George C. II	Council on Foreign Relations			
Paisner / Bruce Lawrence	Council on Foreign Relations			
Pakula / Hannah C.	Council on Foreign Relations			
Palmer / Mark	Council on Foreign Relations			
Palmer / Matthew A.	Council on Foreign Relations			
Palmisano / Samuel J.	Council on Foreign Relations			m-W
Pandith / Farah Anwar	Council on Foreign Relations			
Paperin / Stewart J.	Council on Foreign Relations			
Parasiliti / Andrew	Council on Foreign Relations			
Pardee / Scott E.	Council on Foreign Relations			
Pardes / Herbert	Council on Foreign Relations			
Pardew / James W.	Council on Foreign Relations			
Parekh / Sanjay	Council on Foreign Relations			
Parent / Louise M.	Council on Foreign Relations			
Paris / Jonathan	Council on Foreign Relations			
Parker / Charles Allen	Council on Foreign Relations			
Parker / Elizabeth Rindskopf	Council on Foreign Relations			
Parker / Emily D.	Council on Foreign Relations			
Parker / Jay M.	Council on Foreign Relations			
Parker / Michelle S.	Council on Foreign Relations			
Parker / Penny L.	Council on Foreign Relations			
Parker Feld / Karen	Council on Foreign Relations			
Parkinson / Roger P.	Council on Foreign Relations			
Parks / Michael Christopher	Council on Foreign Relations			
Parsky / Gerald L.	Council on Foreign Relations			
Parsons / Richard D.	Council on Foreign Relations			m-B
Pascal / Alexander	Council on Foreign Relations			
Pascual / Carlos E.	Council on Foreign Relations			
Passer / Juliette M.	Council on Foreign Relations			
Passman / Pamela S.	Council on Foreign Relations			
Pastor / Robert A.	Council on Foreign Relations			
Pate / R. Hewitt	Council on Foreign Relations			
Patrick / Hugh T.	Council on Foreign Relations			
Patrick / Stewart M.	Council on Foreign Relations			
Patrick / Thomas H.	Council on Foreign Relations			m-W
Patricof / Alan Joel	Council on Foreign Relations			
Patricof / Jonathan	Council on Foreign Relations			
Patricof / Susan E.	Council on Foreign Relations			
Patrikis / Ernest T.	Council on Foreign Relations			
Patron / Michelle N.	Council on Foreign Relations			
Patterson / Eric D.	Council on Foreign Relations			
Patterson / Nicholas	Council on Foreign Relations			
Patterson / Patricia M.	Council on Foreign Relations			
Pattiz / Norman J.	Council on Foreign Relations			
Paul / Douglas L.	Council on Foreign Relations			
Paul / Roland A.	Council on Foreign Relations			
Paulson / Henry M. Jr.	Council on Foreign Relations			
Paulson / John Alfred	Council on Foreign Relations			
Paulus / Judith K.	Council on Foreign Relations			
Paumgarten / Nicholas Biddle	Council on Foreign Relations			
Pavel / Barry	Council on Foreign Relations			
Paxson / Christina H.	Council on Foreign Relations			
Pearlstine / Norman	Council on Foreign Relations			
Peckham / Gardner G.	Council on Foreign Relations			
Pederson / Rena M.	Council on Foreign Relations			
Pelletreau / Robert H. Jr.	Council on Foreign Relations			
Peña / Federico F.	Council on Foreign Relations			
Penn / Lawrence Edward III	Council on Foreign Relations			
Penn / Mark Jeffrey	Council on Foreign Relations			
Perella / Joseph R.	Council on Foreign Relations			
Peretz / Don	Council on Foreign Relations			
Perez / Antonio F.	Council on Foreign Relations			
Perez / David	Council on Foreign Relations			
Perez / Luis J.	Council on Foreign Relations			
Pérez-Stable / Marifeli	Council on Foreign Relations			
Perkin / Linda J.	Council on Foreign Relations			
Perkins / Edward J.	Council on Foreign Relations			
Perkins / Roswell B.	Council on Foreign Relations			
Perkovich / George R.	Council on Foreign Relations			
Perlman / Janice Elaine	Council on Foreign Relations			
Perlmutter / Barbara S.	Council on Foreign Relations			
Perlmutter / Louis	Council on Foreign Relations			
Perritt / Henry H. Jr.	Council on Foreign Relations			
Perry / Robert C.	Council on Foreign Relations			
Perry / William J.	Council on Foreign Relations			
Persico / Joseph E.	Council on Foreign Relations			
Peschka / Mary Porter	Council on Foreign Relations			
Peters / Mary Ann	Council on Foreign Relations			
Peters / Michael P.	Council on Foreign Relations			
Petersen / Mathew Scott	Council on Foreign Relations			
Peterson / Holly	Council on Foreign Relations			
Peterson / Michael A.	Council on Foreign Relations			
Petraeus / David H.	Council on Foreign Relations			
Petree / Richard W. Jr.	Council on Foreign Relations			
Petri / Thomas E.	Council on Foreign Relations			
Petro / James Benjamin	Council on Foreign Relations			
Pettibone / Peter J.	Council on Foreign Relations			
Petty / John R.	Council on Foreign Relations			
Peyronnin / Joseph Felix	Council on Foreign Relations			
Pfaltzgraff / Robert L. Jr.	Council on Foreign Relations			
Pfeiffer / Jane Cahill	Council on Foreign Relations			
Pfeiffer / Leon K.	Council on Foreign Relations			
Pfeiffer / Steven B.	Council on Foreign Relations			
Phan / Dang Tan	Council on Foreign Relations			
Pharr / Susan J.	Council on Foreign Relations			
Phelan / John J. Jr.	Council on Foreign Relations			
Phelps / Edmund S.	Council on Foreign Relations			
Phillips / Cecil M.	Council on Foreign Relations			
Phillips / David L.	Council on Foreign Relations			
Phillips / Jeanne L.	Council on Foreign Relations			
Phillips-Barrasso / Kate	Council on Foreign Relations			
Phu / Elizabeth M.	Council on Foreign Relations			
Pickering / Thomas R.	Council on Foreign Relations			
Pieczenik / Steve R.	Council on Foreign Relations			
Piedra / Alberto M. Jr.	Council on Foreign Relations			
Pierce / Eric	Council on Foreign Relations			
Pierce / John vanden Heuvel	Council on Foreign Relations			
Pierce / Lawrence W.	Council on Foreign Relations			
Pierce / Ponchitta	Council on Foreign Relations			
Piercy / Jan	Council on Foreign Relations			
Pierre / Andrew J.	Council on Foreign Relations			
Pifer / Steven K.	Council on Foreign Relations			
Pigott / Charles M.	Council on Foreign Relations			
Pike / John E.	Council on Foreign Relations			
Pilgrim / Kathryn	Council on Foreign Relations			
Pillar / Paul R.	Council on Foreign Relations			
Pillsbury / Marnie S.	Council on Foreign Relations			
Pillsbury / Michael	Council on Foreign Relations			
Pilon / Juliana Geran	Council on Foreign Relations			
Pincus / Walter H.	Council on Foreign Relations			
Pipes / Daniel	Council on Foreign Relations			
Pipes / Richard	Council on Foreign Relations			
Pisano / Anthony Robert	Council on Foreign Relations			
Pisar / Leah	Council on Foreign Relations			
Pitts / Joe W. III	Council on Foreign Relations			
Piverger / Jacques-Philippe	Council on Foreign Relations			
Pizzarello / Louis D.	Council on Foreign Relations			
Plaks / Livia B.	Council on Foreign Relations			
Plasencia / Jorge	Council on Foreign Relations			
Platt / Alan A.	Council on Foreign Relations			
Platt / Alexander H.	Council on Foreign Relations			
Platt / Nicholas	Council on Foreign Relations			
Platt / Sheila Maynard	Council on Foreign Relations			
Plattner / Marc F.	Council on Foreign Relations			
Plepler / Richard L.	Council on Foreign Relations			
Plutzik / Jonathan	Council on Foreign Relations			m-W
Poats / Rutherford M.	Council on Foreign Relations			
Pocalyko / Michael N.	Council on Foreign Relations			
Pogue / Richard W.	Council on Foreign Relations			
Poizner / Stephen L.	Council on Foreign Relations			
Pokempner / Dinah R.	Council on Foreign Relations			
Polan / Mary Lake	Council on Foreign Relations			
Polk / William R.	Council on Foreign Relations			
Pollack / Carol A.	Council on Foreign Relations			
Pollack / Gerald A.	Council on Foreign Relations			
Pollack / Jonathan D.	Council on Foreign Relations			
Pollack / Kenneth Michael	Council on Foreign Relations			
Pollack / Lester	Council on Foreign Relations			
Pollard / Neal A.	Council on Foreign Relations			
Pollock / Robert Lansing	Council on Foreign Relations			
Pond / Elizabeth	Council on Foreign Relations			
Poneman / Daniel Bruce	Council on Foreign Relations			
Pool-Eckert / Marquita J.	Council on Foreign Relations			
Popadiuk / Roman	Council on Foreign Relations			
Popkin / Anne B.	Council on Foreign Relations			
Porat / Ruth M.	Council on Foreign Relations			
Porges / Marisa L.	Council on Foreign Relations			
Porter / Damon Shelby	Council on Foreign Relations			
Porter / John Edward	Council on Foreign Relations			
Portes / Richard	Council on Foreign Relations			
Porzecanski / Arturo C.	Council on Foreign Relations			
Posen / Adam S.	Council on Foreign Relations			
Posen / Barry R.	Council on Foreign Relations			
Posner / Michael	Council on Foreign Relations			
Poste / George H.	Council on Foreign Relations			m-W
Postol / Theodore A.	Council on Foreign Relations			
Potter / William C.	Council on Foreign Relations			
Pottinger / Matthew F.	Council on Foreign Relations			
Powell / Dina Habib	Council on Foreign Relations			
Powell / Jerome H.	Council on Foreign Relations			
Powell / Nancy J.	Council on Foreign Relations			
Powell Jobs / Laurene	Council on Foreign Relations			
Powers / Averill L.	Council on Foreign Relations			
Powers / Timothy E.	Council on Foreign Relations			
Pozen / Robert C.	Council on Foreign Relations			m-W
Pranger / Robert J.	Council on Foreign Relations			
Prasso / Sheridan	Council on Foreign Relations			
Pregenzer / Arian L.	Council on Foreign Relations			
